	gc	code	CV	creation_dt	irrig_type	is_Perenial	irrigated
1297	0	1207	0.03288	60	0	0	0
1298	0	206	0.02727	60	23	0	1
1299	0	1205	0.02742	60	23	0	1
1300	327654	4	0	0	0	0	0
1301	0	713	0.01109	60	23	0	2
1302	0	722	0.0242	60	23	0	2
1303	0	1206	0.29241	60	0	0	2
1304	0	1205	0.02119	60	23	0	2
1305	327655	5	0	0	0	0	0
1306	0	713	0.03068	60	23	0	1
1307	0	722	0.07909	60	73	0	1
1308	0	1206	0.53193	60	0	0	0
1309	0	1207	0.01368	60	0	0	0
1310	0	1205	0.07496	60	23	0	1
1311	327656	3	0	0	0	0	0
1312	0	713	0.02469	60	23	0	1
1313	0	722	0.01355	60	73	0	1
1314	0	1206	0.18565	60	0	0	0
1315	327657	4	0	0	0	0	0
1316	0	1208	0.07124	60	0	0	0
1317	0	713	0.02894	60	23	0	1
1318	0	1206	0.35695	60	0	0	0
1319	0	1205	0.1366	60	73	0	1
1320	327658	4	0	0	0	0	0
1321	0	1208	0.10288	60	0	0	0
1322	0	722	0.02713	60	73	0	1
1323	0	1206	0.08236	60	0	0	0
1324	0	1205	0.07898	60	23	0	1
1325	327659	1	0	0	0	0	0
1326	0	1208	0.01207	60	0	0	0
1327	327660	0	0	0	0	0	0
1328	328572	0	0	0	0	0	0
1329	328573	0	0	0	0	0	0
1330	328574	0	0	0	0	0	0
1331	328575	0	0	0	0	0	0
1332	328576	0	0	0	0	0	0
1333	328577	3	0	0	0	0	0
1334	0	713	0.03093	60	43	0	1
1335	0	722	0.01045	60	73	0	1
1336	0	1206	0.0596	60	0	0	0
1337	328578	3	0	0	0	0	0
1338	0	713	0.02273	60	23	0	1
1339	0	722	0.03279	60	73	0	1
1340	0	1206	0.16386	60	0	0	0
1341	328579	2	0	0	0	0	0
1342	0	713	0.01287	60	0	0	0
1343	0	1206	0.08749	60	0	0	0
1344	328580	2	0	0	0	0	0
1345	0	713	0.01312	60	43	0	1
1346	0	1206	0.02891	60	0	0	0
1347	328581	1	0	0	0	0	0
1348	0	1206	0.01437	60	0	0	0
1349	328582	0	0	0	0	0	0
1350	328583	0	0	0	0	0	0
1351	328584	0	0	0	0	0	0
1352	328585	0	0	0	0	0	0
1353	328586	0	0	0	0	0	0
1354	328587	0	0	0	0	0	0
1355	328588	0	0	0	0	0	0
1356	329499	0	0	0	0	0	0
1357	329500	0	0	0	0	0	0
1358	329501	0	0	0	0	0	0
1359	329502	1	0	0	0	0	0
1360	0	1206	0.02265	60	0	0	0
1361	329503	2	0	0	0	0	0
1362	0	713	0.01194	60	23	0	1
1363	0	1206	0.06507	60	0	0	0
1364	329504	1	0	0	0	0	0
1365	0	1206	0.01523	60	0	0	0
1366	329505	0	0	0	0	0	0
1367	329506	1	0	0	0	0	0
1368	0	1206	0.04094	60	0	0	0
1369	329507	3	0	0	0	0	0
1370	0	713	0.02554	60	43	0	1
1371	0	722	0.03278	60	23	0	1
1372	0	1206	0.08331	60	0	0	0
1373	329508	5	0	0	0	0	0
1374	0	713	0.03314	60	43	0	1
1375	0	722	0.02571	60	23	0	1
1376	0	1206	0.12883	60	0	0	0
1377	0	703	0.01169	60	0	0	0
1378	0	1205	0.0101	60	43	0	1
1379	329509	3	0	0	0	0	0
1380	0	1208	0.03285	60	0	0	0
1381	0	713	0.01792	60	23	0	1
1382	0	1206	0.04419	60	0	0	0
1383	329510	0	0	0	0	0	0
1384	329511	0	0	0	0	0	0
1385	329512	0	0	0	0	0	0
1386	329513	0	0	0	0	0	0
1387	329514	0	0	0	0	0	0
1388	329515	0	0	0	0	0	0
1389	330428	0	0	0	0	0	0
1390	330429	0	0	0	0	0	0
1391	330430	0	0	0	0	0	0
1392	330431	0	0	0	0	0	0
1393	330432	0	0	0	0	0	0
1394	330433	0	0	0	0	0	0
1395	330434	1	0	0	0	0	0
1396	0	1205	0.01026	60	23	0	1
1397	330435	1	0	0	0	0	0
1398	0	1205	0.01482	60	23	0	1
1399	330436	0	0	0	0	0	0
1400	330437	0	0	0	0	0	0
1401	330438	0	0	0	0	0	0
1402	330439	0	0	0	0	0	0
1403	330440	0	0	0	0	0	0
1404	330441	0	0	0	0	0	0
1405	331354	0	0	0	0	0	0
1406	331355	0	0	0	0	0	0
1407	331356	0	0	0	0	0	0
1408	331357	0	0	0	0	0	0
1409	331358	0	0	0	0	0	0
1410	331359	0	0	0	0	0	0
1411	331360	0	0	0	0	0	0
1412	331361	0	0	0	0	0	0
1413	331362	0	0	0	0	0	0
1414	331363	0	0	0	0	0	0
1415	331364	0	0	0	0	0	0
1416	331365	0	0	0	0	0	0
1417	332282	0	0	0	0	0	0
1418	332283	0	0	0	0	0	0
1419	332284	0	0	0	0	0	0
1420	332285	0	0	0	0	0	0
1421	332286	0	0	0	0	0	0
1422	332287	0	0	0	0	0	0
1423	332288	0	0	0	0	0	0
1424	332289	0	0	0	0	0	0
1425	332290	0	0	0	0	0	0
1426	332291	0	0	0	0	0	0
1427	333211	0	0	0	0	0	0
1428	333212	0	0	0	0	0	0
1429	333213	0	0	0	0	0	0
1430	333214	0	0	0	0	0	0
1431	333215	0	0	0	0	0	0
1432	333216	0	0	0	0	0	0
1433	333217	0	0	0	0	0	0
1434	334141	0	0	0	0	0	0
1435	334142	0	0	0	0	0	0
1436	334143	0	0	0	0	0	0
1437	334144	0	0	0	0	0	0
1438	320239	0	0	0	0	0	0
1439	321160	4	0	0	0	0	0
1440	0	1401	0.02422	1	43	1	2
1441	0	713	0.0283	60	23	0	2
1442	0	1206	0.22275	60	0	0	2
1443	0	1403	0.01412	1	43	1	2
1444	321161	3	0	0	0	0	0
1445	0	701	0.0104	60	43	0	1
1446	0	713	0.01953	60	23	0	1
1447	0	1206	0.12023	60	0	0	0
1448	321162	0	0	0	0	0	0
1449	321163	0	0	0	0	0	0
1450	321164	0	0	0	0	0	0
1451	321165	0	0	0	0	0	0
1452	321166	0	0	0	0	0	0
1453	321167	0	0	0	0	0	0
1454	322087	6	0	0	0	0	0
1455	0	1401	0.08762	1	43	1	1
1456	0	713	0.02433	60	43	0	1
1457	0	1206	0.28187	60	0	0	0
1458	0	703	0.08092	60	37	0	1
1459	0	1403	0.01728	1	43	1	1
1460	0	1207	0.01076	60	0	0	0
1461	322088	3	0	0	0	0	0
1462	0	1401	0.0117	1	43	1	1
1463	0	1206	0.32135	60	0	0	0
1464	0	703	0.01695	60	37	0	1
1465	322089	2	0	0	0	0	0
1466	0	1401	0.0542	1	43	1	2
1467	0	1206	0.0484	60	23	0	1
1468	322090	0	0	0	0	0	0
1469	322091	0	0	0	0	0	0
1470	322092	0	0	0	0	0	0
